#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
P1_megaHit.fasta	k191_108465	1	204	+	acpXL	22-225/237	.==============	0/0	86.08	81.37	vfdb	WP_002963616	(acpXL) acyl carrier protein [LPS (VF0367) - Immune modulation (VFC0258)] [Brucella melitensis bv. 1 str. 16M]	
P1_megaHit.fasta	k191_134289	21485	22171	+	mprA	1-687/687	========/======	2/6	99.56	81.88	vfdb	NP_215496	(mprA) two-component response regulator MrpA [MprAB (VF0298) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P1_megaHit.fasta	k191_135720	20560	22816	-	relA	117-2373/2373	========/======	2/4	95.03	82.82	vfdb	NP_217099	(relA) Probable GTP pyrophosphokinase RelA (ATP:GTP 3'-pyrophosphotransferase) (PPGPP synthetase I) ((P)PPGPP synthetase) (GTP diphosphokinase) [RelA (VF0287) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P1_megaHit.fasta	k191_144350	3309	3505	-	mbtH	1-197/216	==============.	0/0	91.20	80.71	vfdb	NP_216893	(mbtH) putative protein MbtH [Mycobactin (VF0299) - Nutritional/Metabolic factor (VFC0272)] [Mycobacterium tuberculosis H37Rv]	
P1_megaHit.fasta	k191_147662	8147	10410	-	relA	106-2369/2373	========/======	2/4	95.32	83.54	vfdb	NP_217099	(relA) Probable GTP pyrophosphokinase RelA (ATP:GTP 3'-pyrophosphotransferase) (PPGPP synthetase I) ((P)PPGPP synthetase) (GTP diphosphokinase) [RelA (VF0287) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P1_megaHit.fasta	k191_19281	5115	6155	-	sigA/rpoV	547-1587/1587	.....==========	0/0	65.60	86.94	vfdb	NP_217219	(sigA/rpoV) RNA polymerase sigma factor SigA [SigA (VF0257) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P1_megaHit.fasta	k191_197060	23142	23673	+	sigE	198-729/774	...============	0/0	68.73	84.40	vfdb	NP_215737	(sigE) ECF RNA polymerase sigma factor SigE [SigE (VF0295) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P1_megaHit.fasta	k191_22054	4408	5685	+	icl	9-1286/1287	========/======	2/4	99.15	86.72	vfdb	YP_177728	(icl) Isocitrate lyase Icl (isocitrase) (isocitratase) [Isocitrate lyase (VF0253) - Others (VFC0346)] [Mycobacterium tuberculosis H37Rv]	
P1_megaHit.fasta	k191_224441	3522	4211	+	phoP	53-742/744	========/======	2/4	92.47	81.50	vfdb	NP_215271	(phoP) Possible two component system response transcriptional positive regulator PhoP [PhoP (VF0286) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P1_megaHit.fasta	k191_226312	1036	1659	+	sodA	1-624/624	===============	0/0	100.00	80.45	vfdb	NP_218363	(sodA) superoxide dismutase [SodA (VF0304) - Stress survival (VFC0282)] [Mycobacterium tuberculosis H37Rv]	
P1_megaHit.fasta	k191_229206	4766	7022	+	relA	116-2372/2373	========/======	2/4	95.03	83.53	vfdb	NP_217099	(relA) Probable GTP pyrophosphokinase RelA (ATP:GTP 3'-pyrophosphotransferase) (PPGPP synthetase I) ((P)PPGPP synthetase) (GTP diphosphokinase) [RelA (VF0287) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P1_megaHit.fasta	k191_240437	90	1055	+	sigA/rpoV	537-1505/1587	....====/======	3/7	60.74	87.75	vfdb	NP_217219	(sigA/rpoV) RNA polymerase sigma factor SigA [SigA (VF0257) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P1_megaHit.fasta	k191_244661	2	939	-	icl	10-947/1287	========/===...	2/2	72.80	85.41	vfdb	YP_177728	(icl) Isocitrate lyase Icl (isocitrase) (isocitratase) [Isocitrate lyase (VF0253) - Others (VFC0346)] [Mycobacterium tuberculosis H37Rv]	
P1_megaHit.fasta	k191_246619	1	589	-	phoP	55-643/744	.============..	0/0	79.17	81.49	vfdb	NP_215271	(phoP) Possible two component system response transcriptional positive regulator PhoP [PhoP (VF0286) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P1_megaHit.fasta	k191_248133	1	428	-	sodA	60-487/624	.===========...	0/0	68.59	81.78	vfdb	NP_218363	(sodA) superoxide dismutase [SodA (VF0304) - Stress survival (VFC0282)] [Mycobacterium tuberculosis H37Rv]	
P1_megaHit.fasta	k191_248826	11311	12351	+	sigA/rpoV	547-1587/1587	.....==========	0/0	65.60	88.76	vfdb	NP_217219	(sigA/rpoV) RNA polymerase sigma factor SigA [SigA (VF0257) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P1_megaHit.fasta	k191_264696	55330	56017	-	phoP	55-742/744	.==============	0/0	92.47	81.83	vfdb	NP_215271	(phoP) Possible two component system response transcriptional positive regulator PhoP [PhoP (VF0286) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P1_megaHit.fasta	k191_275758	666	1474	+	pilU	25-833/1149	========/===...	2/4	70.23	80.15	vfdb	NP_249087	(pilU) twitching motility protein PilU [Type IV pili (VF0082) - Adherence (VFC0001)] [Pseudomonas aeruginosa PAO1]	
P1_megaHit.fasta	k191_280715	185	1386	-	icl	84-1285/1287	===============	0/0	93.40	88.52	vfdb	YP_177728	(icl) Isocitrate lyase Icl (isocitrase) (isocitratase) [Isocitrate lyase (VF0253) - Others (VFC0346)] [Mycobacterium tuberculosis H37Rv]	
P1_megaHit.fasta	k191_309034	8283	8805	-	sigH	54-576/651	.=======/=====.	2/4	80.03	81.71	vfdb	NP_217739	(sigH) ECF RNA polymerase sigma factor SigH [SigH (VF0296) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P1_megaHit.fasta	k191_333028	10981	11516	+	sigE	190-725/774	...============	0/0	69.25	84.33	vfdb	NP_215737	(sigE) ECF RNA polymerase sigma factor SigE [SigE (VF0295) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P1_megaHit.fasta	k191_341609	6493	7771	-	icl	9-1287/1287	===============	0/0	99.38	87.57	vfdb	YP_177728	(icl) Isocitrate lyase Icl (isocitrase) (isocitratase) [Isocitrate lyase (VF0253) - Others (VFC0346)] [Mycobacterium tuberculosis H37Rv]	
P1_megaHit.fasta	k191_356212	6454	7140	+	mprA	1-687/687	========/======	2/6	99.56	83.33	vfdb	NP_215496	(mprA) two-component response regulator MrpA [MprAB (VF0298) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P1_megaHit.fasta	k191_360096	1	267	-	cheY	1-267/375	===========....	0/0	71.20	82.40	vfdb	NP_250147	(cheY) chemotaxis protein CheY [Flagella (VF0273) - Motility (VFC0204)] [Pseudomonas aeruginosa PAO1]	
P1_megaHit.fasta	k191_364893	11339	12034	-	ideR	1-693/693	========/======	3/5	99.86	80.34	vfdb	NP_217227	(ideR) Iron-dependent repressor and activator IdeR [IdeR (VF0300) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P1_megaHit.fasta	k191_364893	17202	18250	-	sigA/rpoV	537-1587/1587	....====/======	2/4	66.04	87.36	vfdb	NP_217219	(sigA/rpoV) RNA polymerase sigma factor SigA [SigA (VF0257) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P1_megaHit.fasta	k191_37583	34369	34561	+	mbtH	6-198/216	==============.	0/0	89.35	80.31	vfdb	NP_216893	(mbtH) putative protein MbtH [Mycobactin (VF0299) - Nutritional/Metabolic factor (VFC0272)] [Mycobacterium tuberculosis H37Rv]	
P1_megaHit.fasta	k191_392216	2	632	+	phoP	110-740/744	..=============	0/0	84.81	82.09	vfdb	NP_215271	(phoP) Possible two component system response transcriptional positive regulator PhoP [PhoP (VF0286) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P1_megaHit.fasta	k191_393228	72313	72936	+	sodA	1-624/624	===============	0/0	100.00	81.73	vfdb	NP_218363	(sodA) superoxide dismutase [SodA (VF0304) - Stress survival (VFC0282)] [Mycobacterium tuberculosis H37Rv]	
P1_megaHit.fasta	k191_405110	1174	1422	+	espR	1-249/399	==========.....	0/0	62.41	81.93	vfdb	NP_218366	(espR) ESX-1 transcriptional regulator EspR [ESX-1 (VF0315) - Effector delivery system (VFC0086)] [Mycobacterium tuberculosis H37Rv]	
P1_megaHit.fasta	k191_424593	428	711	+	esxN	1-284/285	===============	0/0	99.65	82.75	vfdb	YP_177838	(esxN) ESX-5 type VII secretion system EsxA (ESAT-6) homolog [ESX-5 (VF0402) - Effector delivery system (VFC0086)] [Mycobacterium tuberculosis H37Rv]	
P1_megaHit.fasta	k191_45159	4657	5934	+	icl	10-1287/1287	===============	0/0	99.30	87.09	vfdb	YP_177728	(icl) Isocitrate lyase Icl (isocitrase) (isocitratase) [Isocitrate lyase (VF0253) - Others (VFC0346)] [Mycobacterium tuberculosis H37Rv]	
P1_megaHit.fasta	k191_469861	26257	26780	-	sigE	202-725/774	...============	0/0	67.70	83.78	vfdb	NP_215737	(sigE) ECF RNA polymerase sigma factor SigE [SigE (VF0295) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P1_megaHit.fasta	k191_470453	443	996	+	sigE	172-725/774	...============	0/0	71.58	85.02	vfdb	NP_215737	(sigE) ECF RNA polymerase sigma factor SigE [SigE (VF0295) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P1_megaHit.fasta	k191_487161	404	958	-	sigE	175-729/774	...============	0/0	71.71	85.77	vfdb	NP_215737	(sigE) ECF RNA polymerase sigma factor SigE [SigE (VF0295) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P1_megaHit.fasta	k191_59788	1	1863	+	relA	507-2369/2373	...============	0/0	78.51	83.63	vfdb	NP_217099	(relA) Probable GTP pyrophosphokinase RelA (ATP:GTP 3'-pyrophosphotransferase) (PPGPP synthetase I) ((P)PPGPP synthetase) (GTP diphosphokinase) [RelA (VF0287) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P1_megaHit.fasta	k191_97490	1	435	+	sigH	177-611/651	....===========	0/0	66.82	80.46	vfdb	NP_217739	(sigH) ECF RNA polymerase sigma factor SigH [SigH (VF0296) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P2_megaHit.fasta	k191_191079	447	978	-	sigE	198-729/774	...============	0/0	68.73	84.40	vfdb	NP_215737	(sigE) ECF RNA polymerase sigma factor SigE [SigE (VF0295) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P2_megaHit.fasta	k191_233874	1053	1279	-	acpXL	1-227/237	===============	0/0	95.78	81.06	vfdb	WP_002963616	(acpXL) acyl carrier protein [LPS (VF0367) - Immune modulation (VFC0258)] [Brucella melitensis bv. 1 str. 16M]	
P2_megaHit.fasta	k191_257852	581	1134	+	sigH	55-608/651	.=======/======	2/4	84.79	80.58	vfdb	NP_217739	(sigH) ECF RNA polymerase sigma factor SigH [SigH (VF0296) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P2_megaHit.fasta	k191_292498	844	1467	+	sodA	1-624/624	===============	0/0	100.00	81.89	vfdb	NP_218363	(sodA) superoxide dismutase [SodA (VF0304) - Stress survival (VFC0282)] [Mycobacterium tuberculosis H37Rv]	
P2_megaHit.fasta	k191_33284	3127	3323	-	mbtH	1-197/216	==============.	0/0	91.20	80.71	vfdb	NP_216893	(mbtH) putative protein MbtH [Mycobactin (VF0299) - Nutritional/Metabolic factor (VFC0272)] [Mycobacterium tuberculosis H37Rv]	
P2_megaHit.fasta	k191_348474	1331	2608	-	icl	9-1286/1287	========/======	2/4	99.15	86.88	vfdb	YP_177728	(icl) Isocitrate lyase Icl (isocitrase) (isocitratase) [Isocitrate lyase (VF0253) - Others (VFC0346)] [Mycobacterium tuberculosis H37Rv]	
P2_megaHit.fasta	k191_442784	1	977	+	sigA/rpoV	609-1585/1587	.....===/======	2/4	61.44	87.95	vfdb	NP_217219	(sigA/rpoV) RNA polymerase sigma factor SigA [SigA (VF0257) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P2_megaHit.fasta	k191_464191	113	1161	+	sigA/rpoV	537-1587/1587	....====/======	2/4	66.04	87.36	vfdb	NP_217219	(sigA/rpoV) RNA polymerase sigma factor SigA [SigA (VF0257) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P2_megaHit.fasta	k191_490123	1844	2530	+	mprA	1-687/687	========/======	2/6	99.56	81.88	vfdb	NP_215496	(mprA) two-component response regulator MrpA [MprAB (VF0298) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P2_megaHit.fasta	k191_522867	398	2506	-	relA	264-2372/2373	.=======/======	2/4	88.79	83.56	vfdb	NP_217099	(relA) Probable GTP pyrophosphokinase RelA (ATP:GTP 3'-pyrophosphotransferase) (PPGPP synthetase I) ((P)PPGPP synthetase) (GTP diphosphokinase) [RelA (VF0287) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P3_megaHit.fasta	k191_111596	1	414	+	ACICU_RS16840	37-450/483	.=============.	0/0	85.71	98.07	vfdb	WP_001046420	(ACICU_RS16840) prepilin-type N-terminal cleavage/methylation domain-containing protein [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU]	
P4_megaHit.fasta	k191_1123787	1578	1804	-	acpXL	1-227/237	===============	0/0	95.78	81.06	vfdb	WP_002963616	(acpXL) acyl carrier protein [LPS (VF0367) - Immune modulation (VFC0258)] [Brucella melitensis bv. 1 str. 16M]	
P4_megaHit.fasta	k191_116055	3014	3375	+	cheY	1-362/375	========/======	2/4	96.00	81.04	vfdb	NP_250147	(cheY) chemotaxis protein CheY [Flagella (VF0273) - Motility (VFC0204)] [Pseudomonas aeruginosa PAO1]	
P4_megaHit.fasta	k191_1221210	512	1552	-	sigA/rpoV	547-1587/1587	.....==========	0/0	65.60	87.90	vfdb	NP_217219	(sigA/rpoV) RNA polymerase sigma factor SigA [SigA (VF0257) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P4_megaHit.fasta	k191_179375	17	773	+	pilT	198-951/1035	..======/=====.	5/9	72.56	80.39	vfdb	NP_249086	(pilT) twitching motility protein PilT [Type IV pili (VF0082) - Adherence (VFC0001)] [Pseudomonas aeruginosa PAO1]	
P4_megaHit.fasta	k191_251964	120	316	-	mbtH	1-197/216	==============.	0/0	91.20	81.22	vfdb	NP_216893	(mbtH) putative protein MbtH [Mycobactin (VF0299) - Nutritional/Metabolic factor (VFC0272)] [Mycobacterium tuberculosis H37Rv]	
P4_megaHit.fasta	k191_312816	3	1148	-	icl	9-1154/1287	========/=====.	2/4	88.89	88.07	vfdb	YP_177728	(icl) Isocitrate lyase Icl (isocitrase) (isocitratase) [Isocitrate lyase (VF0253) - Others (VFC0346)] [Mycobacterium tuberculosis H37Rv]	
P4_megaHit.fasta	k191_352618	1248	2219	+	pilT	1-972/1035	========/======	9/12	93.33	80.27	vfdb	NP_249086	(pilT) twitching motility protein PilT [Type IV pili (VF0082) - Adherence (VFC0001)] [Pseudomonas aeruginosa PAO1]	
P4_megaHit.fasta	k191_362133	1	301	-	cheY	1-301/375	=============..	0/0	80.27	80.07	vfdb	NP_250147	(cheY) chemotaxis protein CheY [Flagella (VF0273) - Motility (VFC0204)] [Pseudomonas aeruginosa PAO1]	
P4_megaHit.fasta	k191_480619	256	787	+	sigE	198-729/774	...============	0/0	68.73	83.83	vfdb	NP_215737	(sigE) ECF RNA polymerase sigma factor SigE [SigE (VF0295) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P4_megaHit.fasta	k191_633223	260	434	-	acpXL	16-190/237	.============..	0/0	73.84	84.00	vfdb	WP_002963616	(acpXL) acyl carrier protein [LPS (VF0367) - Immune modulation (VFC0258)] [Brucella melitensis bv. 1 str. 16M]	
P4_megaHit.fasta	k191_64705	117	740	+	sodA	1-624/624	===============	0/0	100.00	81.73	vfdb	NP_218363	(sodA) superoxide dismutase [SodA (VF0304) - Stress survival (VFC0282)] [Mycobacterium tuberculosis H37Rv]	
P4_megaHit.fasta	k191_788032	425	659	-	acpXL	1-235/237	===============	0/0	99.16	80.00	vfdb	WP_002963616	(acpXL) acyl carrier protein [LPS (VF0367) - Immune modulation (VFC0258)] [Brucella melitensis bv. 1 str. 16M]	
P4_megaHit.fasta	k191_875307	437	1123	+	mprA	1-687/687	========/======	2/6	99.56	81.88	vfdb	NP_215496	(mprA) two-component response regulator MrpA [MprAB (VF0298) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P4_megaHit.fasta	k191_987664	981	1397	-	cheW	96-512/528	..=============	0/0	78.98	80.10	vfdb	WP_004199265	(cheW) chemotaxis protein CheW [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243]	
P6_megaHit.fasta	k127_143495	203	564	-	cheY	1-362/375	===============	0/0	96.53	80.66	vfdb	NP_250147	(cheY) chemotaxis protein CheY [Flagella (VF0273) - Motility (VFC0204)] [Pseudomonas aeruginosa PAO1]	
P6_megaHit.fasta	k127_192526	13995	15053	-	sigA/rpoV	525-1583/1587	....====/======	4/6	66.54	86.63	vfdb	NP_217219	(sigA/rpoV) RNA polymerase sigma factor SigA [SigA (VF0257) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P6_megaHit.fasta	k127_192803	5	1073	+	sigA/rpoV	517-1585/1587	....====/======	4/6	67.17	86.75	vfdb	NP_217219	(sigA/rpoV) RNA polymerase sigma factor SigA [SigA (VF0257) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P6_megaHit.fasta	k127_218453	13181	14467	+	icl	1-1287/1287	===============	0/0	100.00	85.00	vfdb	YP_177728	(icl) Isocitrate lyase Icl (isocitrase) (isocitratase) [Isocitrate lyase (VF0253) - Others (VFC0346)] [Mycobacterium tuberculosis H37Rv]	
P6_megaHit.fasta	k127_255722	1	467	-	mprA	1-467/687	===========....	0/0	67.98	82.23	vfdb	NP_215496	(mprA) two-component response regulator MrpA [MprAB (VF0298) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P6_megaHit.fasta	k127_266620	298	891	+	sigH	54-644/651	.=======/======	6/11	90.17	80.10	vfdb	NP_217739	(sigH) ECF RNA polymerase sigma factor SigH [SigH (VF0296) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P6_megaHit.fasta	k127_276161	88	1009	+	icl	9-930/1287	===========....	0/0	71.64	86.12	vfdb	YP_177728	(icl) Isocitrate lyase Icl (isocitrase) (isocitratase) [Isocitrate lyase (VF0253) - Others (VFC0346)] [Mycobacterium tuberculosis H37Rv]	
P6_megaHit.fasta	k127_282297	932	1980	+	icl	1-1049/1287	=============..	0/0	81.51	85.70	vfdb	YP_177728	(icl) Isocitrate lyase Icl (isocitrase) (isocitratase) [Isocitrate lyase (VF0253) - Others (VFC0346)] [Mycobacterium tuberculosis H37Rv]	
P6_megaHit.fasta	k127_308903	12775	14059	+	icl	1-1285/1287	===============	0/0	99.84	86.15	vfdb	YP_177728	(icl) Isocitrate lyase Icl (isocitrase) (isocitratase) [Isocitrate lyase (VF0253) - Others (VFC0346)] [Mycobacterium tuberculosis H37Rv]	
P6_megaHit.fasta	k127_321456	1024	1218	+	csrA	1-195/195	===============	0/0	100.00	85.64	vfdb	WP_011213314	(csrA) carbon storage regulator CsrA [CsrA (VF0261) - Regulation (VFC0301)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]	
P6_megaHit.fasta	k127_340758	291	652	-	cheY	1-362/375	===============	0/0	96.53	80.11	vfdb	NP_250147	(cheY) chemotaxis protein CheY [Flagella (VF0273) - Motility (VFC0204)] [Pseudomonas aeruginosa PAO1]	
P6_megaHit.fasta	k127_364828	252	476	+	acpXL	1-225/237	===============	0/0	94.94	80.89	vfdb	WP_002963616	(acpXL) acyl carrier protein [LPS (VF0367) - Immune modulation (VFC0258)] [Brucella melitensis bv. 1 str. 16M]	
P6_megaHit.fasta	k127_369613	214	465	+	acpXL	22-273/282	.==============	0/0	89.36	82.14	vfdb	WP_002963985	(acpXL) acyl carrier protein [LPS (VF0367) - Immune modulation (VFC0258)] [Brucella melitensis bv. 1 str. 16M]	
P6_megaHit.fasta	k127_370587	59	541	-	sigE	243-725/774	....===========	0/0	62.40	84.89	vfdb	NP_215737	(sigE) ECF RNA polymerase sigma factor SigE [SigE (VF0295) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P6_megaHit.fasta	k127_396178	1599	2121	+	ideR	1-520/693	========/===...	4/9	74.60	81.18	vfdb	NP_217227	(ideR) Iron-dependent repressor and activator IdeR [IdeR (VF0300) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P6_megaHit.fasta	k127_408725	2119	2804	+	phoP	55-740/744	.=======/======	2/4	91.94	81.54	vfdb	NP_215271	(phoP) Possible two component system response transcriptional positive regulator PhoP [PhoP (VF0286) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P6_megaHit.fasta	k127_455482	328	533	+	acpXL	1-206/237	==============.	0/0	86.92	81.55	vfdb	WP_002963616	(acpXL) acyl carrier protein [LPS (VF0367) - Immune modulation (VFC0258)] [Brucella melitensis bv. 1 str. 16M]	
P6_megaHit.fasta	k127_501573	1	1570	+	relA	745-2314/2373	....===========	0/0	66.16	83.12	vfdb	NP_217099	(relA) Probable GTP pyrophosphokinase RelA (ATP:GTP 3'-pyrophosphotransferase) (PPGPP synthetase I) ((P)PPGPP synthetase) (GTP diphosphokinase) [RelA (VF0287) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P6_megaHit.fasta	k127_562456	2714	3222	-	sigH	55-563/651	.=======/=====.	2/4	77.88	82.78	vfdb	NP_217739	(sigH) ECF RNA polymerase sigma factor SigH [SigH (VF0296) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P6_megaHit.fasta	k127_568825	8804	9354	+	sigE	175-725/774	...============	0/0	71.19	85.48	vfdb	NP_215737	(sigE) ECF RNA polymerase sigma factor SigE [SigE (VF0295) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P6_megaHit.fasta	k127_582852	2111	4365	+	relA	115-2369/2373	===============	0/0	95.03	83.46	vfdb	NP_217099	(relA) Probable GTP pyrophosphokinase RelA (ATP:GTP 3'-pyrophosphotransferase) (PPGPP synthetase I) ((P)PPGPP synthetase) (GTP diphosphokinase) [RelA (VF0287) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P6_megaHit.fasta	k127_587085	891	1384	+	sigE	175-668/774	...==========..	0/0	63.82	84.21	vfdb	NP_215737	(sigE) ECF RNA polymerase sigma factor SigE [SigE (VF0295) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P6_megaHit.fasta	k127_59885	1	1392	-	htpB	253-1644/1650	..=============	0/0	84.36	80.03	vfdb	WP_197535493	(htpB) Hsp60 60K heat shock protein HtpB [Hsp60 (VF0159) - Adherence (VFC0001)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]	
P6_megaHit.fasta	k127_640940	15	701	+	mprA	1-687/687	========/======	2/4	99.71	81.71	vfdb	NP_215496	(mprA) two-component response regulator MrpA [MprAB (VF0298) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P6_megaHit.fasta	k127_649103	10052	10630	-	sigE	173-751/774	...============	0/0	74.81	82.73	vfdb	NP_215737	(sigE) ECF RNA polymerase sigma factor SigE [SigE (VF0295) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P6_megaHit.fasta	k127_651457	578	998	+	sigH	55-475/651	.=======/===...	2/4	64.36	82.27	vfdb	NP_217739	(sigH) ECF RNA polymerase sigma factor SigH [SigH (VF0296) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P6_megaHit.fasta	k127_655996	9192	9883	-	phoP	49-740/744	===============	0/0	93.01	82.51	vfdb	NP_215271	(phoP) Possible two component system response transcriptional positive regulator PhoP [PhoP (VF0286) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P6_megaHit.fasta	k127_708220	48	574	+	bvrR	151-680/720	..======/======	1/3	73.19	80.57	vfdb	WP_002965156	(bvrR) response regulator transcription factor [BvrR-BvrS (VF0368) - Regulation (VFC0301)] [Brucella melitensis bv. 1 str. 16M]	
P6_megaHit.fasta	k127_738349	166	371	+	acpXL	1-206/237	==============.	0/0	86.92	80.10	vfdb	WP_002963616	(acpXL) acyl carrier protein [LPS (VF0367) - Immune modulation (VFC0258)] [Brucella melitensis bv. 1 str. 16M]	
P6_megaHit.fasta	k127_751183	2683	3237	-	sigH	55-609/651	.=======/======	2/4	84.95	80.61	vfdb	NP_217739	(sigH) ECF RNA polymerase sigma factor SigH [SigH (VF0296) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P6_megaHit.fasta	k127_880	15719	18002	-	relA	88-2371/2373	========/======	2/4	96.17	82.68	vfdb	NP_217099	(relA) Probable GTP pyrophosphokinase RelA (ATP:GTP 3'-pyrophosphotransferase) (PPGPP synthetase I) ((P)PPGPP synthetase) (GTP diphosphokinase) [RelA (VF0287) - Regulation (VFC0301)] [Mycobacterium tuberculosis H37Rv]	
P7_megaHit.fasta	k191_100169	154	1132	+	waaF	1-976/1038	========/======	5/9	93.74	80.35	vfdb	NP_253699	(waaF) heptosyltransferase I [LPS (VF0085) - Immune modulation (VFC0258)] [Pseudomonas aeruginosa PAO1]	
P7_megaHit.fasta	k191_101167	46	201	-	mbtH-like	50-205/219	...============	0/0	71.23	85.90	vfdb	NP_251102	(mbtH-like) MbtH-like protein from the pyoverdine cluster [Pyoverdine (VF0094) - Nutritional/Metabolic factor (VFC0272)] [Pseudomonas aeruginosa PAO1]	
P7_megaHit.fasta	k191_102277	2	675	-	fleN	4-677/843	========/====..	2/8	79.48	83.48	vfdb	NP_250145	(fleN) flagellar synthesis regulator FleN [Flagella (VF0273) - Motility (VFC0204)] [Pseudomonas aeruginosa PAO1]	
