#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
P1_megaHit.fasta	k191_111427	38993	39322	-	RbpA	1-330/345	===============	0/0	95.65	86.06	card	HQ203032.1:0-345	RNA-polymerase binding protein which confers resistance to rifampin.	rifamycin
P1_megaHit.fasta	k191_127262	2668	3483	-	sul2	1-816/816	===============	0/0	100.00	100.00	card	AY055428.1:21084-20268	Sul2 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria usually found on small plasmids.	sulfonamide
P1_megaHit.fasta	k191_1732	2182	2529	+	qacEdelta1	1-348/348	===============	0/0	100.00	100.00	card	U49101.1:1490-1838	QacEdelta1 is a resistance gene conferring resistance to antiseptics. It is different from QacE only at the 3'-terminus.	disinfecting_agents_and_antiseptics
P1_megaHit.fasta	k191_1732	2523	3362	+	sul1	1-840/840	===============	0/0	100.00	100.00	card	JF969163.1:1053-1893	Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.	sulfonamide
P1_megaHit.fasta	k191_211238	1	619	+	mtrA	3-621/687	==============.	0/0	90.10	85.14	card	AL123456.3:3627349-3626662	MtrA is a transcriptional activator of the MtrCDE multidrug efflux pump of Neisseria gonorrhoeae.	macrolide;penam
P1_megaHit.fasta	k191_236238	628	1818	-	tet(C)	1-1191/1191	===============	0/0	100.00	100.00	card	AY043299.1:5175-3984	Tet(C) is a tetracycline efflux pump found in many species of Gram-negative bacteria. It is typically found in plasmid DNA.	tetracycline
P1_megaHit.fasta	k191_331257	353	1576	+	mefC	1-1224/1224	===============	0/0	100.00	99.84	card	AB571865.1:145536-144312	mefC is a macrolide efflux gene isolated from a plasmid in Photobacterium damselae.	macrolide
P1_megaHit.fasta	k191_357482	3963	4647	-	mtrA	1-685/687	===============	0/0	99.71	85.69	card	AL123456.3:3627349-3626662	MtrA is a transcriptional activator of the MtrCDE multidrug efflux pump of Neisseria gonorrhoeae.	macrolide;penam
P1_megaHit.fasta	k191_385579	1	902	-	msrE	369-1270/1476	...==========..	0/0	61.11	100.00	card	EU294228.1:21241-22717	MsrE is an ABC-F subfamily protein expressed to Klebsiella pneumoniae that confers resistance to erythromycin and streptogramin B antibiotics. It is associated with plasmid DNA. It is also 100% identical to ABC-F type ribosomal protection protein Msr(E) which is in multiple species.	macrolide;streptogramin
P1_megaHit.fasta	k191_386858	1	545	-	aadA17	174-718/792	...===========.	0/0	68.81	98.72	card	FJ460181.2:1790-2582	aadA17 is an integron-encoded aminoglycoside nucleotidyltransferase gene in Aeromonas media.	aminoglycoside
P1_megaHit.fasta	k191_416365	9273	9952	+	mtrA	8-687/687	===============	0/0	98.98	86.77	card	AL123456.3:3627349-3626662	MtrA is a transcriptional activator of the MtrCDE multidrug efflux pump of Neisseria gonorrhoeae.	macrolide;penam
P1_megaHit.fasta	k191_419905	169	969	-	ErmF	1-801/801	===============	0/0	100.00	99.38	card	M17124.1:1181-1982	ErmF confers the MLSb phenotype.	lincosamide;macrolide;streptogramin;streptogramin_A;streptogramin_B
P1_megaHit.fasta	k191_449389	27	609	+	mtrA	1-583/687	=============..	0/0	84.86	85.25	card	AL123456.3:3627349-3626662	MtrA is a transcriptional activator of the MtrCDE multidrug efflux pump of Neisseria gonorrhoeae.	macrolide;penam
P1_megaHit.fasta	k191_460927	3878	4562	-	mtrA	1-685/687	===============	0/0	99.71	84.53	card	AL123456.3:3627349-3626662	MtrA is a transcriptional activator of the MtrCDE multidrug efflux pump of Neisseria gonorrhoeae.	macrolide;penam
P1_megaHit.fasta	k191_463935	1	596	+	APH(6)-Id	242-837/837	....===========	0/0	71.21	99.83	card	AF024602.1:3155-3992	APH(6)-Id is an aminoglycoside phosphotransferase encoded by plasmids integrative conjugative elements and chromosomal genomic islands in K. pneumoniae Salmonella spp. E. coli Shigella flexneri Providencia alcalifaciens Pseudomonas spp. V. cholerae Edwardsiella tarda Pasteurella multocida and Aeromonas bestiarum.	aminoglycoside
P1_megaHit.fasta	k191_468325	105	436	-	RbpA	1-332/345	===============	0/0	96.23	87.95	card	HQ203032.1:0-345	RNA-polymerase binding protein which confers resistance to rifampin.	rifamycin
P1_megaHit.fasta	k191_502929	3041	3366	+	RbpA	1-326/345	===============	0/0	94.49	89.57	card	HQ203032.1:0-345	RNA-polymerase binding protein which confers resistance to rifampin.	rifamycin
P1_megaHit.fasta	k191_77665	3930	4262	+	RbpA	1-333/345	===============	0/0	96.52	87.99	card	HQ203032.1:0-345	RNA-polymerase binding protein which confers resistance to rifampin.	rifamycin
P1_megaHit.fasta	k191_98855	2859	6353	+	rpoB2	1-3462/3489	========/======	16/45	99.05	81.29	card	AP006618.1:4835199-4838688	Due to gene duplication the genomes of Nocardia species include both rifampin-sensitive beta-subunit of RNA polymerase (rpoB) and rifampin-resistant beta-subunit of RNA polymerase (rpoB2) genes with ~88% similarity between the two gene products. Expression of the rpoB2 variant results in replacement of rifampin sensitivity with rifampin resistance.	rifamycin
P2_megaHit.fasta	k191_119954	3131	3460	+	RbpA	1-330/345	===============	0/0	95.65	86.36	card	HQ203032.1:0-345	RNA-polymerase binding protein which confers resistance to rifampin.	rifamycin
P2_megaHit.fasta	k191_400717	2	2242	+	rpoB2	1225-3462/3489	....====/======	5/7	64.09	82.52	card	AP006618.1:4835199-4838688	Due to gene duplication the genomes of Nocardia species include both rifampin-sensitive beta-subunit of RNA polymerase (rpoB) and rifampin-resistant beta-subunit of RNA polymerase (rpoB2) genes with ~88% similarity between the two gene products. Expression of the rpoB2 variant results in replacement of rifampin sensitivity with rifampin resistance.	rifamycin
P2_megaHit.fasta	k191_43908	36	701	+	aadA27	1-666/789	=============..	0/0	84.41	98.50	card	LN873256.1:4027-3238	Small mobilizable plasmid pALWED1.8 containing a novel variant of the streptomycin/spectinomycin resistance gene.	aminoglycoside
P2_megaHit.fasta	k191_451768	845	1705	-	TEM-116	1-861/861	===============	0/0	100.00	100.00	card	U36911.1:1429-2290	TEM-116 is a broad-spectrum beta-lactamase found in many species of bacteria.	cephalosporin;monobactam;penam;penem
P2_megaHit.fasta	k191_459519	5	237	+	RbpA	94-326/345	....===========	0/0	67.54	89.27	card	HQ203032.1:0-345	RNA-polymerase binding protein which confers resistance to rifampin.	rifamycin
P2_megaHit.fasta	k191_53206	91	770	+	mtrA	8-687/687	===============	0/0	98.98	86.77	card	AL123456.3:3627349-3626662	MtrA is a transcriptional activator of the MtrCDE multidrug efflux pump of Neisseria gonorrhoeae.	macrolide;penam
P3_megaHit.fasta	k191_301434	127	830	+	mphE	1-704/885	============...	0/0	79.55	99.86	card	DQ839391.1:13757-12872	mphE is a macrolide phosphotransferase and resistance gene identified on a plasmid pRSB105.	macrolide
P4_megaHit.fasta	k191_1132876	3436	3959	-	mtrA	164-687/687	...============	0/0	76.27	86.83	card	AL123456.3:3627349-3626662	MtrA is a transcriptional activator of the MtrCDE multidrug efflux pump of Neisseria gonorrhoeae.	macrolide;penam
P4_megaHit.fasta	k191_1134544	299	451	-	rsmA	1-153/186	=============..	0/0	82.26	80.39	card	AF061757.1:834-1020	rsmA is a gene that regulates virulence of Pseudomonas aeruginosa. However its negative effect on MexEF-OprN overexpression has been noted to confer resistance to various antibiotics. It's Escherichia coli homolog is csrA.	diaminopyrimidine;fluoroquinolone;phenicol
P4_megaHit.fasta	k191_29794	21209	21370	+	rsmA	1-162/186	==============.	0/0	87.10	80.86	card	AF061757.1:834-1020	rsmA is a gene that regulates virulence of Pseudomonas aeruginosa. However its negative effect on MexEF-OprN overexpression has been noted to confer resistance to various antibiotics. It's Escherichia coli homolog is csrA.	diaminopyrimidine;fluoroquinolone;phenicol
P4_megaHit.fasta	k191_54499	84	381	+	RbpA	1-298/345	=============..	0/0	86.38	89.26	card	HQ203032.1:0-345	RNA-polymerase binding protein which confers resistance to rifampin.	rifamycin
P4_megaHit.fasta	k191_94639	17	654	-	mtrA	50-687/687	.==============	0/0	92.87	85.89	card	AL123456.3:3627349-3626662	MtrA is a transcriptional activator of the MtrCDE multidrug efflux pump of Neisseria gonorrhoeae.	macrolide;penam
P5_megaHit.fasta	k127_38559	1	306	+	qacEdelta1	43-348/348	.==============	0/0	87.93	100.00	card	U49101.1:1490-1838	QacEdelta1 is a resistance gene conferring resistance to antiseptics. It is different from QacE only at the 3'-terminus.	disinfecting_agents_and_antiseptics
P5_megaHit.fasta	k127_38559	300	1139	+	sul1	1-840/840	===============	0/0	100.00	100.00	card	JF969163.1:1053-1893	Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.	sulfonamide
P5_megaHit.fasta	k127_848585	1	768	-	TEM-116	35-802/861	==============.	0/0	89.20	99.87	card	U36911.1:1429-2290	TEM-116 is a broad-spectrum beta-lactamase found in many species of bacteria.	cephalosporin;monobactam;penam;penem
P6_megaHit.fasta	k127_1177	73	398	+	RbpA	1-326/345	===============	0/0	94.49	86.50	card	HQ203032.1:0-345	RNA-polymerase binding protein which confers resistance to rifampin.	rifamycin
P6_megaHit.fasta	k127_122178	1	962	+	tet(C)	230-1191/1191	..=============	0/0	80.77	99.69	card	AY043299.1:5175-3984	Tet(C) is a tetracycline efflux pump found in many species of Gram-negative bacteria. It is typically found in plasmid DNA.	tetracycline
P6_megaHit.fasta	k127_152136	289	747	+	mtrA	1-459/687	===========....	0/0	66.81	83.88	card	AL123456.3:3627349-3626662	MtrA is a transcriptional activator of the MtrCDE multidrug efflux pump of Neisseria gonorrhoeae.	macrolide;penam
P6_megaHit.fasta	k127_159945	37884	38213	+	RbpA	1-330/345	===============	0/0	95.65	86.36	card	HQ203032.1:0-345	RNA-polymerase binding protein which confers resistance to rifampin.	rifamycin
P6_megaHit.fasta	k127_175470	1499	2181	-	mtrA	1-683/687	===============	0/0	99.42	84.92	card	AL123456.3:3627349-3626662	MtrA is a transcriptional activator of the MtrCDE multidrug efflux pump of Neisseria gonorrhoeae.	macrolide;penam
P6_megaHit.fasta	k127_228950	1686	2033	+	qacEdelta1	1-348/348	===============	0/0	100.00	100.00	card	U49101.1:1490-1838	QacEdelta1 is a resistance gene conferring resistance to antiseptics. It is different from QacE only at the 3'-terminus.	disinfecting_agents_and_antiseptics
