#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
P1_megaHit.fasta	k191_127262	2668	3483	-	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole
P1_megaHit.fasta	k191_1732	2496	3362	+	sul1_5	1-867/867	===============	0/0	100.00	99.89	resfinder	EU780013	sul1	Sulfamethoxazole
P1_megaHit.fasta	k191_236238	628	1818	-	tet(C)_3	1-1191/1191	===============	0/0	100.00	99.92	resfinder	AF055345	tet(C)	Doxycycline;Tetracycline
P1_megaHit.fasta	k191_331257	353	1576	+	mef(C)_1	1-1224/1224	===============	0/0	100.00	99.84	resfinder	AB571865	mef(C)	Erythromycin
P1_megaHit.fasta	k191_385579	1	902	-	msr(E)_1	369-1270/1476	...==========..	0/0	61.11	100.00	resfinder	FR751518	msr(E)	Azithromycin;Erythromycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S
P1_megaHit.fasta	k191_386858	1	545	-	aadA17_1	174-718/792	...===========.	0/0	68.81	98.72	resfinder	FJ460181	aadA17	Spectinomycin;Streptomycin
P1_megaHit.fasta	k191_419905	169	969	-	erm(F)_3	1-801/801	===============	0/0	100.00	99.50	resfinder	M17808	erm(F)	Clindamycin;Erythromycin;Lincomycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S
P1_megaHit.fasta	k191_463935	1	596	+	aph(6)-Id_1	242-837/837	....===========	0/0	71.21	100.00	resfinder	M28829	aph(6)-Id	Streptomycin
P2_megaHit.fasta	k191_451768	845	1705	-	blaTEM-116_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY425988	blaTEM-116	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
P3_megaHit.fasta	k191_301434	127	830	+	mph(E)_1	1-704/885	============...	0/0	79.55	99.86	resfinder	DQ839391	mph(E)	Erythromycin
P5_megaHit.fasta	k127_38559	273	1139	+	sul1_5	1-867/867	===============	0/0	100.00	99.89	resfinder	EU780013	sul1	Sulfamethoxazole
P5_megaHit.fasta	k127_848585	1	768	-	blaTEM-116_1	35-802/861	==============.	0/0	89.20	99.87	resfinder	AY425988	blaTEM-116	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
P6_megaHit.fasta	k127_122178	1	962	+	tet(C)_3	230-1191/1191	..=============	0/0	80.77	99.58	resfinder	AF055345	tet(C)	Doxycycline;Tetracycline
P6_megaHit.fasta	k127_282302	1472	2287	+	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole
P6_megaHit.fasta	k127_424347	845	1705	-	blaTEM-116_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY425988	blaTEM-116	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
P6_megaHit.fasta	k127_429492	1	753	+	aadA1_2	37-792/792	========/======	1/3	95.08	96.83	resfinder	FJ591054	aadA1	Spectinomycin;Streptomycin
P6_megaHit.fasta	k127_615701	33	899	+	sul1_5	1-867/867	===============	0/0	100.00	99.89	resfinder	EU780013	sul1	Sulfamethoxazole
P6_megaHit.fasta	k127_665195	148	719	+	blaOXA-129_1	1-572/804	===========....	0/0	71.14	88.81	resfinder	FJWZ01000025	blaOXA-129	
P7_megaHit.fasta	k191_112157	1	600	-	sul1_35	1-600/852	===========....	0/0	70.42	100.00	resfinder	AB281182	sul1	Sulfamethoxazole
